[2024-03-13 10:59:33,044] [drone_actions] INFO Overall state 0: Normal
[2024-03-13 10:59:34,046] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 10:59:34,046] [drone_actions] INFO Overall State 0: Normal
[2024-03-13 10:59:34,046] [drone_actions] INFO [92mAction: Continue mission[0m
[2024-03-13 10:59:35,047] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-13 10:59:35,047] [drone_actions] INFO Overall State 0: Normal
[2024-03-13 10:59:35,047] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 10:59:36,049] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 10:59:36,049] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 10:59:36,050] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-13 10:59:37,049] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 10:59:37,049] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 10:59:37,051] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 10:59:38,052] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 10:59:38,053] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 10:59:38,053] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 10:59:39,051] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 10:59:39,052] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 10:59:39,054] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 10:59:40,055] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 10:59:41,054] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 10:59:41,054] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 10:59:41,057] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 10:59:41,057] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 10:59:41,058] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-13 10:59:42,059] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 10:59:43,058] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 10:59:43,059] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 10:59:43,061] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 10:59:44,062] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 10:59:45,062] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-13 10:59:45,062] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 10:59:45,063] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 10:59:46,066] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 10:59:46,067] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 10:59:46,067] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 10:59:47,065] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 10:59:47,065] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 10:59:47,069] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 10:59:48,071] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 10:59:49,067] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-13 10:59:49,067] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 10:59:49,072] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 10:59:49,073] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 10:59:49,073] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-13 10:59:50,074] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 10:59:51,069] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 10:59:51,069] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 10:59:51,075] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 10:59:51,076] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 10:59:52,078] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 10:59:53,071] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 10:59:53,079] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 10:59:54,081] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 10:59:55,074] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 10:59:55,074] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 10:59:55,075] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 10:59:55,083] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 10:59:56,085] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 10:59:56,085] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 10:59:57,077] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 10:59:57,077] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 10:59:57,077] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-13 10:59:57,088] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:19:53,500] [drone_actions] INFO Overall state 0: Normal
[2024-03-13 11:19:54,502] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:19:54,502] [drone_actions] INFO Overall State 0: Normal
[2024-03-13 11:19:54,502] [drone_actions] INFO [92mAction: Continue mission[0m
[2024-03-13 11:19:55,503] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 11:19:55,504] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 11:19:55,504] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
